#SampleID	BarcodeSequence	LinkerPrimerSequence	filename	ATTRIBUTE_GNPSDefaultGroup
5ugmL_Opti_NCE_stepped20-30-40_1.mzML	GATACA	GATACA	5ugmL_Opti_NCE_stepped20-30-40_1.mzML	G1
5ugmL_Opti_NCE_stepped20-30-40_3.mzML	GATACA	GATACA	5ugmL_Opti_NCE_stepped20-30-40_3.mzML	G1
5ugmL_Opti_NCE_stepped20-30-40_2.mzML	GATACA	GATACA	5ugmL_Opti_NCE_stepped20-30-40_2.mzML	G1
